"CD_PROT_ECHANTILLONNAGE";"CD_PROTOCOLE";"UNITE";"NB_UNITE";"DUREE";"TAILLE";"PASSAGES_AN";"PERIODE_AN";"PLAN_ECH";"COMMENTAIRE";"NIVEAU"
198;198;"Point (fleur)";"100";;;;;;;"1"
199;199;"Transect";;"à une vitesse constante : 20 m/min environ";"60 à 150 m";"6/transect, sur 1 à 2 mois";"entre mars et juin. Tous les 2 ans.";"Subjectif/orienté";" La zone d’observation est de l’ordre de 2 m de part et d’autre du transect.";"1"
199002;199;"Plaque";"4/transect";;"100x50 cm ou 80x80 cm";;;"Systématique";"tous les 50m";"2"
200;200;"Transect";;"à vitesse constante d’environ 20 m/min";"60 à 150 m";"6/transect, au moins 1 fois par an, au moins sur 2 ans";"mars à juin";"Subjectif/orienté";" La zone d’observation est de l’ordre de 2 m de part et d’autre du transect.";"1"
200002;200;"Plaque";"4/transect";;"100x50 cm ou 80x80 cm";;;"Systématique";"tous les 50m";"2"
201;201;"Transect";">10";"à vitesse constante d’environ 20 m/min";"60 à 150 m";"6/transect, au moins 1 fois par an, au moins sur 2 ans";"mars à juin";"Subjectif/orienté";"Sur chaque transect, les habitats environnants (définis ici comme étant des parcelles de 30 m de large de part et d’autre du transect) doivent être renseignés.";"1"
201002;201;"Plaque";"4/transect";;"100x50 cm ou 80x80 cm";;;"Systématique";"tous les 50m";"2"
204;204;"Carré (maille)";;;"10x10 km";"3";"Inventaires complémentaires : 1 passage tardif ½ journée 15/août au 30/09; 1 passage  précoce vernal année n+1 01/04 au 01/05";"Systématique";;"1"
204002;204;"Carré (maille)";"1/maille 10x10km";"Journée";"5x5 km";"1";"15/05 au 31/07";"Subjectif/orienté";;"2"
204003;204;"Itinéraire choisi";"1/carré 5x5km";;"5 Km environ";;;"Subjectif/orienté";;"3"
208;208;"Point";"6 profondeurs prévues";;;"1";"septembre";"Subjectif/orienté";"3 personnes.";"1"
209;209;"Point";"6 profondeurs prévues";;;"1";"septembre";"Subjectif/orienté";"3 personnes.";"1"
210;210;"Point";;;;"1";"septembre";"Subjectif/orienté";"3 personnes.";"1"
211;211;"Point";"1";"1 m/s (remonter le filet lentement)";"Filet à plancton (maille 50 µm, diamètre 30 cm)";"1";"septembre";"Subjectif/orienté";"3 personnes.";"1"
212;212;"Point";"3";;">100 cm²";"1";"septembre";"Subjectif/orienté";"Prélever au minimum 5 pierres ou galets situés dans la zone euphotique entre 40 et 60cm de profondeur.";"1"
218;218;"Placette";;;"30x30 m";;;"Subjectif/orienté";;"1"
218002;218;"Transect";;;"30 m";;;"Systématique";;"2"
218003;218;"Point";"150";;;;;"Systématique";"Tous les 20 cm";"3"
219;219;"Placette";;;"30x30 m";;;"Subjectif/orienté";;"1"
219002;219;"Placette flore";"1/placette 30x30m";;"90 m2";;;"Systématique";;"2"
219003;219;"Sous-placette";"3/placette flore";;"10x3 m";;;"Systématique";;"3"
224;224;"Point (EPS)";"10/réserve au minimum";"5'";"100m de rayon de détection";"2";"01/04 au 08/05
09/05 au 15/06
(si altitude : charnière au 15/05)";"Subjectif/orienté";;"1"
225;225;"Surface, ou transect";;;"1 à 2 ha, ou 200m";;;"Subjectif/orienté";"homogénéité stationnelle : il est vivement souhaitable qu'un relevé ne chevauche pas plusieurs formations végétales très différentes.";"1"
226;226;"Périmètre d'étude";;;"limites des ZEE";;"été (en zone tropicale), différentes saisons (zones tempérées)";"Stratifié";;"1"
226002;226;"Transect";;"1h";"<100 milles nautiques";;;"Systématique";;"2"
227;227;"Point d'observation (jardin)";"1";"15 à 20'";;"Autant que souhaité";"Toute l’année";"Subjectif/orienté";;"1"
228;228;"Point (nichoir)";"30 (minimum)";"4x 5'/filet, toutes les 5'";;"3 à 5/an, sur 5 ans";"15/01 au 01/03; 14/03 au 15/04; mai, juin/juillet; 15/09 au 01/11";"Subjectif/orienté";;"1"
229;229;"Transect";;;"25 m";;;"Subjectif/orienté";;"1"
229002;229;"Carré (quadrat)";"1 à 5/transect";;"1 m2";;;"Subjectif/orienté";;"2"
230;230;"Point d'échantillonnage (filet)";;"20'";;"3";"mai; juillet; septembre";"Subjectif/orienté";"2 personnes au minimum.";"1"
231;231;"Itinéraire choisi";;"15' (minimum)";;;;"Subjectif/orienté";;"1"
232;232;"Site";"2";;;;;"Subjectif/orienté";"Chaque année, un site chassé et un site non chassé font l’objet de ce protocole de suivis.";"1"
232002;232;"Transect (layon)";"3 ou 4/site";"3h";"3 km";"2 passages par layon/jour";;"Aléatoire simple";"1 agent par layon";"2"
234;234;"Point d'observation";;"1h";"500m de champ de vision";"1/jour";"01/11 au 28/02";"Subjectif/orienté";"Les points d'observations seront distants d'environ 1 km. Une observation sera faite chaque soir, pendant 1 h : 50' avant le coucher du soleil et 10' après le coucher du soleil.";"1"
235;235;"Point d'observation";;;;;"01/08 au 10/11; ou 20/01 au 31/05 pour les sites printaniers";"Subjectif/orienté";;"1"
236;236;"Point d'observation";;;;"3";"juin";"Subjectif/orienté";"2 observateurs. Comptages en milieu de journée.";"1"
237;237;"Zone";;;;;"février/mars";"Subjectif/orienté";;"1"
